"ChangeType","File","BeforeHash","AfterHash","Reason","RelatedRoute"
"Modified","src\components\layout\public-sidebar.tsx","120B3B54F318BAC20ACEB325678B36B26E487F4F741056EF25DB0EB0AD95CD81","327F72E4D57A49465D0B7FAD6BCAA8A09A6BC8CCA361CC802EA2A9B034A1EE45","사업부→직원 2단 Canonical Sidebar, 팀 보조정보, Mobile Drawer 동기화","Public Sidebar / Mobile Drawer"
"Modified","src\app\(public)\page.tsx","4DDB729D803CFB07112FD2FFDBCC37AD277120AFF6C51D6CA5E94E245D154BE5","FE7D270465915BBB52FC1EA0F024F5D5D6482DBA5968A2E6388BCC5441E7AC8B","Home 사업부 카드의 query 진입 링크를 전체 Overview로 변경","/"
"Modified","src\app\(public)\characters\[slug]\page.tsx","B3C5ED9EB5B37B4FAA2CF297FD40BB009D63F28F14257E1F81D5660D4671A663","73F367FDE3AF510D26D063BB7D2AFB75515C37D4CEF26CD41F7C5927B0A6CE32","Breadcrumb query 제거, 허용된 18개 slug SSG 및 invalid slug 404","/characters/[slug]"
"Modified","src\components\feed\organization-feed-card.tsx","1D6F3D628A08AE2596609BAA1853F915E64D90213E5AFEB64D598A66BECBBE4E","E2D2F3D9EFB601AA04BF49E596A4B9E6E1934FDB0A4B9CC221A7A9920174107D","팀·사업부 query 링크 제거, 직원·Discussion 링크만 유지","/division-feed 및 Legacy Feed"
"Modified","src\app\(public)\discussion\[slug]\page.tsx","A92E8543806DE2F4D7C5F37855417D4020C4A47D5361496DCEEA803DB78EDFA9","6102138551A9F2BFAB24CFFB586B1B04DDF5F1CA4D83E00507C8228AB754B461","참여 직원의 팀·사업부 query 링크 제거","/discussion/[slug]"
"Modified","src\app\(public)\division-feed\page.tsx","B90D9BC6513923B01214FB5BDBFAA1D9C3DB866C6EE8289E6E9D7C05E47A6054","3439E2403F00906D863EA81053B060450A52B28049017F9DC9E577BB2FD175DC","6개 사업부 Overview에 팀·담당 직원·Knowledge 표시, query Navigation 제거","/division-feed"
"Modified","README.md","B722D40F30189A170F325432593EA7B98D923188B827A92D05AD1D97838ACCFB","991CEB4435CC9FD7D2157D44A159ABA0774131B258E7F5F8E30566E55475363B","현재 Ptudio 브랜드·MVP 범위로 갱신","Documentation"
"Modified","docs\DEVELOPMENT STATUS.md","7BE41E0733A505E5A1048A27617745C92E7B53606B1219F9668259DD6BF2844C","7BD89C9D127DF0970946C2DD16202D44BAC8205865244BB454713B272A4A8FC0","Sidebar 표시 계층과 조직 데이터 계층을 구분해 기록","Documentation"
"Created","docs\review\PTUDIO-MVP-THIRD-REVIEW.md","N/A","9C8FF4C4D13D08F70FCF0B141D9C4DD9FBA02C22D169F0358D940B77BDCE49B1","A-J 형식의 3차 보정 및 회귀 검수 보고서","Documentation"
"Created","docs\review\PTUDIO-MVP-THIRD-SCREENSHOT-INDEX.md","N/A","5DF9C09971A4C7B67BAB82270F5CB2F9CBF50E624DA49E63F1299E25B1707110","3차 보정 대표 화면 인덱스","Documentation"
"Created","docs\review\screenshots\ptd-sidebar-canonical-desktop-v3.png","N/A","BE3B997F5C63941256171BA172E787E8FBBB9D1CD8D5E49F53E441BB364B65CF","Desktop Canonical Sidebar 검증 화면","Public Sidebar"
"Created","docs\review\screenshots\ptd-sidebar-canonical-mobile-v3.png","N/A","9AC92F0633875A33C797D888A507791FC2783F008294D408A2BDDD7F2C574E35","Mobile Drawer Canonical Sidebar 검증 화면","Mobile Drawer"
"Created","docs\review\screenshots\ptd-division-overview-desktop-v3.png","N/A","DFBEDFF754C473DEA1129CA63E2B006E1101B7B55CEE87A049C187E47F6D88EC","Desktop 사업부 Overview 검증 화면","/division-feed"
"Created","docs\review\screenshots\ptd-division-overview-mobile-v3.png","N/A","43F6582C11E04122A293C2892400E44F433194F05A6ED096148A0682033C5FC1","Mobile 사업부 Overview 검증 화면","/division-feed"
