"State","Path","CurrentSha256","BaselineSha256"
"Added",".codex-dev-server.stderr.log","8AAFD5418FD4CA1227011ED6AAB100B5B65374DAE7B02E62EB57112759C2B38A",
"Added",".codex-dev-server.stdout.log","B8F18A2020E0D37CC3A5DFE7E318041371C35D170C70F9ACEC2D34B564D2E858",
"Added",".eslintrc.json","8D4A8D81DAB1C22BCB28635249606F2E59FA816E8E58C56EECF6D2430949847A",
"Added","AGENTS.md","5DD0C4C8F746D4E742408A69B734D9E4CB93979AE7C4C9D584EDDAAAAAABAE79",
"Added","docs\database-tool-decision.md","B25C17FC7E75075979E1455E1F24EE513C0091BE451D9FD5194F4D317918743C",
"Added","docs\DEVELOPMENT POLICY.md","02E1BBB1729BDD7622765DDEE55DFA94A6F36EA1905569F2FEAE19182B409155",
"Added","docs\DEVELOPMENT STATUS.md","7BE41E0733A505E5A1048A27617745C92E7B53606B1219F9668259DD6BF2844C",
"Added","docs\discussion-engine-api-boundary.md","EC5B91F3AF883CC7E37DB251EA5BE93935D708AF9CAADE0D1610C08E35414865",
"Added","docs\discussion-engine-persistence-boundary.md","D79FE8DB987B24465C7CE0896FC7BACE1EB549C732D852F46F98E8F951C37FA6",
"Added","docs\organization.md","A3F83C98ED12E6015DD0057A7FAA5766671AA690EB306D2BBEC0FC6B50ADFA4A",
"Added","docs\postgres-client-boundary.md","FAE7EAEA50FAD1757D9E396798271DF84DB83FA2B40F9EDF25ACDBC26A085332",
"Added","docs\postgres-repository-adapter-plan.md","1201D4966F65DC742072AE36E529A4EAA3AA7C34408D52B3527BA55FBB9CC2F0",
"Added","docs\postgres-schema-plan.md","11D64662F48851ED1A6E00ECFB116A9FB007C0DBD6817F442BB4B205CBFB757E",
"Added","docs\ui-update-v1.md","5011AF89C427BCA7D4AC06F88AE9420E393FFB23F9405D8ECA5D859E0EC09473",
"Added","public\assets\ui-v1\01-main-hero.png","625905881122EAE4A10367AA413CE5355CC64432A3801CB8FDCC1E4A2928EC35",
"Added","public\assets\ui-v1\02-studio-background-overview.png","2F9A6A00BCBE35BBC2A4C79E1E3AF17C310D11457E001C0D76C8A223D134C4A5",
"Added","public\assets\ui-v1\03-mvp-employee-group.png","1D7C4F7146612AE0C1CCA4C159A0FF79E063E7689E4FE85BB89E9D95B644DD31",
"Added","public\assets\ui-v1\04-employee-hero-1.png","B69D2ED77611F6C15F1EFCD064537E884EFFAEECA591CD57C9F1DEBC0B12783A",
"Added","public\assets\ui-v1\04-employee-hero-2.png","66EB00143EE1FBE36BF6C8BC6ED79D437327EBBB8FC644984A105EAE47B40359",
"Added","public\assets\ui-v1\04-employee-hero-3.png","4603D8E5FB0E14F990851190F74D9BB53413B8A60B2E9B94DA2A084651DF00C2",
"Added","public\assets\ui-v1\05-employee-profile-1.png","48F5178A671B694DEB2408B698A25AA400FB9323214231F3412ABC69779A5B09",
"Added","public\assets\ui-v1\05-employee-profile-2.png","E875ACC5DCDCD06311DB567E9168E474D774D05F8ED6D718DC393552D585C632",
"Added","public\assets\ui-v1\05-employee-profile-3.png","E539B83B13D0A0AEE4F2555C65AD97F27A9B73045822E351BBF6F3E1FDA23C1D",
"Added","public\assets\ui-v1\06-discussion-preview.png","507F20C6A63C1DA3186C7CE041FEDD90E7CE04A9294D74AB73780842445D2AA9",
"Added","public\assets\ui-v1\07-main-feed-thumbnail-overview.png","E21D20F618C58F0FF5F278F530D6BD0BAE3A0D14F3B7C57B0BE4376500CD1D82",
"Added","public\assets\ui-v1\08-core-crystal-overview.png","D683E163899D4D94F64C97479A410D9FD32819987EB2A17757F3AD02D5123198",
"Added","public\assets\ui-v1\09-division-icons-overview.png","989249E60BE9ADE50E2E70DC4D2C21AF9FA66BD0791E58E0CEDCD562ED77DD6C",
"Added","public\brand\ptudio-horizontal.png","564B53A6989DF883B2D992F23DD628C865D6B576F114E2F2BA8A33331E1EDEB8",
"Added","public\brand\ptudio-icon.png","E9A99FD1056DF18D3CDDD678385C6633DAE547B62B1DC388D715FC384434BB74",
"Added","public\brand\ptudio-lobby-thumbnail.webp","EB006A646DD15A4664D1D9A5FFCF17B7708FFE02E3AAF0AEF0EC7E3A42DD8C81",
"Added","public\brand\ptudio-mark-transparent.png","8E05121EC9CB5F2E338664F3006CFF5545540ED736D3CE4B5545E1FC120D3DB8",
"Added","public\brand\ptudio-wordmark-header.png","3E8B0F9A4E8B3B112431644D7AB59CCEF3D6A9250D0BB7BE143994BE3C60146D",
